hash_partida,hash_tf,data_partida,periodo,temporada,team_hash_a,team_hash_b,fg_made_a,fg_att_a,fg3_made_a,fg3_att_a,fg2_made_a,fg2_att_a,ft_made_a,ft_att_a,fg_made_b,fg_att_b,fg3_made_b,fg3_att_b,fg2_made_b,fg2_att_b,ft_made_b,ft_att_b,pace_a,pace_b,match_pace,pts_a,pts_b,a_mov,total,a_mov_cumsum,a_mov_prior
Botafogo2024Pato Basquete2024,Botafogo2024Pato Basquete2024Final,2024-07-15,Final,2024,Botafogo2024,Pato Basquete2024,59,65,3,11,21,54,8,12,57,52,3,15,20,37,8,17,77.28,65.48,71.38,59,57,2,116,4,
Caixa Brasília Basquete2024Paulistano2024,Caixa Brasília Basquete2024Paulistano2024Final,2024-07-15,Final,2024,Caixa Brasília Basquete2024,Paulistano2024,28,64,2,28,8,36,6,8,86,59,8,19,22,40,18,26,76.52,71.44,73.97999999999999,28,86,-58,114,-116,
B.Cearense2024Pinheiros2024,B.Cearense2024Pinheiros2024Final,2024-07-15,Final,2024,B.Cearense2024,Pinheiros2024,47,68,6,41,8,27,13,18,99,64,8,20,30,44,15,20,76.92,74.8,75.86,47,99,-52,146,-104,
Corinthians2024São José Basketball2024,Corinthians2024São José Basketball2024Final,2024-07-15,Final,2024,Corinthians2024,São José Basketball2024,82,72,11,34,21,38,7,15,78,68,8,20,22,48,10,16,83.6,76.04,79.82,82,78,4,160,8,
SESI Franca2024São Paulo FC2024,SESI Franca2024São Paulo FC2024Final,2024-07-15,Final,2024,SESI Franca2024,São Paulo FC2024,90,58,9,19,22,39,19,21,81,63,14,32,13,31,13,17,77.24,78.48,77.86,90,81,9,171,18,
Campo Mourão2024União Corinthians2024,Campo Mourão2024União Corinthians2024Final,2024-07-15,Final,2024,Campo Mourão2024,União Corinthians2024,84,63,12,29,17,34,14,26,55,65,5,22,18,43,4,9,66.44,74.96,70.69999999999999,84,55,29,139,58,
ADRM2024Vasco/Tijuca2024,ADRM2024Vasco/Tijuca2024Final,2024-07-15,Final,2024,ADRM2024,Vasco/Tijuca2024,41,59,4,21,13,38,3,9,80,74,8,36,18,38,20,29,71.96000000000001,78.76,75.36000000000001,41,80,-39,121,-78,
AEGB2024Cruzeiro2024,AEGB2024Cruzeiro2024Final,2024-07-16,Final,2024,AEGB2024,Cruzeiro2024,32,67,3,28,8,39,7,11,123,83,9,28,38,55,20,31,83.84,84.64,84.24000000000001,32,123,-91,155,-182,
IVV/CETAF2024Minas2024,IVV/CETAF2024Minas2024Final,2024-07-16,Final,2024,IVV/CETAF2024,Minas2024,73,64,4,23,25,41,11,16,89,63,8,28,22,35,21,26,80.04,78.44,79.24000000000001,73,89,-16,162,-16,
Cerrado2024Mogi2024,Cerrado2024Mogi2024Final,2024-07-16,Final,2024,Cerrado2024,Mogi2024,64,65,3,23,21,42,13,17,83,74,12,40,16,34,15,20,75.48,78.8,77.14,64,83,-19,147,-38,
B.Cearense2024Paulistano2024,B.Cearense2024Paulistano2024Final,2024-07-16,Final,2024,B.Cearense2024,Paulistano2024,39,56,4,28,10,28,7,10,79,68,10,37,18,31,13,19,63.4,77.36,70.38,39,79,-40,118,-80,
Bauru Basket2024Pinheiros2024,Bauru Basket2024Pinheiros2024Final,2024-07-16,Final,2024,Bauru Basket2024,Pinheiros2024,43,61,2,29,14,32,9,13,78,68,8,34,20,34,14,16,70.72,78.04,74.38,43,78,-35,121,-70,
LDPG2024UNIFACISA2024,LDPG2024UNIFACISA2024Final,2024-07-16,Final,2024,LDPG2024,UNIFACISA2024,107,73,6,21,35,52,19,27,60,74,4,28,16,46,16,21,91.88,91.24,91.56,107,60,47,167,94,
Botafogo2024Corinthians2024,Botafogo2024Corinthians2024Final,2024-07-17,Final,2024,Botafogo2024,Corinthians2024,90,71,14,26,19,45,10,20,93,63,9,22,22,41,22,26,87.8,79.44,83.62,90,93,-3,183,-6,
Caixa Brasília Basquete2024LDPG2024,Caixa Brasília Basquete2024LDPG2024Final,2024-07-17,Final,2024,Caixa Brasília Basquete2024,LDPG2024,80,75,12,39,15,36,14,20,73,64,6,27,19,37,17,28,89.8,77.32,83.56,80,73,7,153,14,
Cruzeiro2024Minas2024,Cruzeiro2024Minas2024Final,2024-07-17,Final,2024,Cruzeiro2024,Minas2024,77,69,7,25,21,44,14,23,64,63,8,38,12,25,16,21,88.12,79.24,83.68,77,64,13,141,26,
AEGB2024Mogi2024,AEGB2024Mogi2024Final,2024-07-17,Final,2024,AEGB2024,Mogi2024,63,61,3,14,18,47,18,24,112,81,13,34,28,47,17,24,78.56,88.56,83.56,63,112,-49,175,-98,
Bauru Basket2024Paulistano2024,Bauru Basket2024Paulistano2024Final,2024-07-17,Final,2024,Bauru Basket2024,Paulistano2024,50,68,9,35,11,33,1,2,82,55,14,34,14,21,12,14,63.879999999999995,56.16,60.019999999999996,50,82,-32,132,-64,
Cerrado2024Pinheiros2024,Cerrado2024Pinheiros2024Final,2024-07-17,Final,2024,Cerrado2024,Pinheiros2024,63,62,5,24,21,38,6,12,93,82,7,23,30,59,12,19,77.28,80.36,78.82,63,93,-30,156,-60,
Pato Basquete2024SESI Franca2024,Pato Basquete2024SESI Franca2024Final,2024-07-17,Final,2024,Pato Basquete2024,SESI Franca2024,51,60,8,31,12,29,3,6,92,73,8,15,33,58,2,4,59.64,68.76,64.2,51,92,-41,143,-82,
ADRM2024São José Basketball2024,ADRM2024São José Basketball2024Final,2024-07-17,Final,2024,ADRM2024,São José Basketball2024,62,57,9,32,12,25,11,17,125,75,18,35,27,40,17,24,77.48,81.56,79.52000000000001,62,125,-63,187,-126,
Flamengo2024São Paulo FC2024,Flamengo2024São Paulo FC2024Final,2024-07-17,Final,2024,Flamengo2024,São Paulo FC2024,100,88,7,28,30,60,19,37,94,78,7,32,25,46,23,31,104.28,104.64,104.46000000000001,100,94,6,194,6,
IVV/CETAF2024UNIFACISA2024,IVV/CETAF2024UNIFACISA2024Final,2024-07-17,Final,2024,IVV/CETAF2024,UNIFACISA2024,72,71,7,28,21,43,9,17,44,50,5,17,9,33,11,22,83.48,60.68,72.08,72,44,28,116,56,
Thalia/PH.D Esportes2024União Corinthians2024,Thalia/PH.D Esportes2024União Corinthians2024Final,2024-07-17,Final,2024,Thalia/PH.D Esportes2024,União Corinthians2024,80,80,7,31,26,49,7,15,56,63,7,33,11,30,13,19,83.6,75.36,79.47999999999999,80,56,24,136,48,
Campo Mourão2024Vasco/Tijuca2024,Campo Mourão2024Vasco/Tijuca2024Final,2024-07-17,Final,2024,Campo Mourão2024,Vasco/Tijuca2024,59,57,4,24,17,33,13,20,89,71,8,25,28,46,9,15,67.8,79.6,73.69999999999999,59,89,-30,148,-60,
