hash_partida,hash_tf,data_partida,periodo,temporada,team_hash_a,team_hash_b,fg_made_a,fg_att_a,fg3_made_a,fg3_att_a,fg2_made_a,fg2_att_a,ft_made_a,ft_att_a,fg_made_b,fg_att_b,fg3_made_b,fg3_att_b,fg2_made_b,fg2_att_b,ft_made_b,ft_att_b,pace_a,pace_b,match_pace,pts_a,pts_b,a_mov,total,a_mov_cumsum,a_mov_prior
Bauru Basket2023São José Basketball2023,Bauru Basket2023São José Basketball2023Final,2023-06-16,Final,2023,Bauru Basket2023,São José Basketball2023,63,60,5,23,17,37,14,19,71,63,3,16,22,47,18,30,85.36,79.2,82.28,63,71,-8,134,-16,
AABJ Joinville2023Thalia/PH.D Esportes2023,AABJ Joinville2023Thalia/PH.D Esportes20231,2023-06-16,1,2023,AABJ Joinville2023,Thalia/PH.D Esportes2023,8,16,1,7,2,9,1,2,14,14,2,7,3,7,2,5,17.88,18.2,18.04,8,14,-6,22,-6,0.0
AABJ Joinville2023Thalia/PH.D Esportes2023,AABJ Joinville2023Thalia/PH.D Esportes20232,2023-06-16,2,2023,AABJ Joinville2023,Thalia/PH.D Esportes2023,7,18,1,9,1,9,2,2,11,17,1,6,4,11,0,3,17.88,19.32,18.6,7,11,-4,18,-10,-6.0
AABJ Joinville2023Thalia/PH.D Esportes2023,AABJ Joinville2023Thalia/PH.D Esportes20233,2023-06-16,3,2023,AABJ Joinville2023,Thalia/PH.D Esportes2023,17,19,1,8,5,11,4,5,21,15,2,6,4,9,7,9,26.2,22.96,24.58,17,21,-4,38,-14,-10.0
AABJ Joinville2023Thalia/PH.D Esportes2023,AABJ Joinville2023Thalia/PH.D Esportes20234,2023-06-16,4,2023,AABJ Joinville2023,Thalia/PH.D Esportes2023,14,17,3,7,2,10,1,2,19,15,1,5,6,10,4,7,21.88,21.08,21.479999999999997,14,19,-5,33,-19,-14.0
AABJ Joinville2023Thalia/PH.D Esportes2023,AABJ Joinville2023Thalia/PH.D Esportes2023Final,2023-06-16,Final,2023,AABJ Joinville2023,Thalia/PH.D Esportes2023,46,70,6,31,10,39,8,11,65,61,6,24,17,37,13,24,82.84,81.56,82.2,46,65,-19,111,-38,
Pato Basquete2023União Corinthians2023,Pato Basquete2023União Corinthians20231,2023-06-16,1,2023,Pato Basquete2023,União Corinthians2023,21,22,3,12,6,10,0,0,11,14,1,4,3,10,2,2,19.0,14.88,16.94,21,11,10,32,10,0.0
Pato Basquete2023União Corinthians2023,Pato Basquete2023União Corinthians20232,2023-06-16,2,2023,Pato Basquete2023,União Corinthians2023,16,18,2,11,4,7,2,6,18,18,2,6,6,12,0,3,20.64,21.32,20.98,16,18,-2,34,8,10.0
Pato Basquete2023União Corinthians2023,Pato Basquete2023União Corinthians20233,2023-06-16,3,2023,Pato Basquete2023,União Corinthians2023,24,18,3,5,6,13,3,7,10,15,0,3,5,12,0,0,17.08,20.0,18.54,24,10,14,34,22,8.0
Pato Basquete2023União Corinthians2023,Pato Basquete2023União Corinthians20234,2023-06-16,4,2023,Pato Basquete2023,União Corinthians2023,19,17,3,9,4,8,2,2,18,23,0,1,8,22,2,4,23.88,21.76,22.82,19,18,1,37,23,22.0
Pato Basquete2023União Corinthians2023,Pato Basquete2023União Corinthians2023Final,2023-06-16,Final,2023,Pato Basquete2023,União Corinthians2023,80,75,11,37,20,38,7,15,57,70,3,14,22,56,4,9,79.6,75.96,77.78,80,57,23,137,46,
Bauru Basket2023Flamengo2023,Bauru Basket2023Flamengo20231,2023-06-17,1,2023,Bauru Basket2023,Flamengo2023,14,17,2,7,4,10,0,0,14,16,0,4,7,12,0,0,18.0,17.0,17.5,14,14,0,28,0,0.0
Bauru Basket2023Flamengo2023,Bauru Basket2023Flamengo20232,2023-06-17,2,2023,Bauru Basket2023,Flamengo2023,14,19,2,8,4,11,0,0,21,15,2,5,7,10,1,2,16.0,15.88,15.940000000000001,14,21,-7,35,-7,0.0
Bauru Basket2023Flamengo2023,Bauru Basket2023Flamengo20233,2023-06-17,3,2023,Bauru Basket2023,Flamengo2023,26,17,2,7,7,10,6,8,6,14,0,5,1,9,4,12,23.52,25.28,24.4,26,6,20,32,13,-7.0
Bauru Basket2023Flamengo2023,Bauru Basket2023Flamengo20234,2023-06-17,4,2023,Bauru Basket2023,Flamengo2023,19,16,1,5,6,11,4,4,13,12,0,2,3,10,7,10,19.76,18.4,19.08,19,13,6,32,19,13.0
Bauru Basket2023Flamengo2023,Bauru Basket2023Flamengo2023Final,2023-06-17,Final,2023,Bauru Basket2023,Flamengo2023,73,69,7,27,21,42,10,12,54,57,2,16,18,41,12,24,74.28,75.56,74.92,73,54,19,127,38,
AABJ Joinville2023Pato Basquete2023,AABJ Joinville2023Pato Basquete20231,2023-06-17,1,2023,AABJ Joinville2023,Pato Basquete2023,12,16,0,4,6,12,0,0,12,17,2,9,2,8,2,3,18.0,17.32,17.66,12,12,0,24,0,0.0
AABJ Joinville2023Pato Basquete2023,AABJ Joinville2023Pato Basquete20232,2023-06-17,2,2023,AABJ Joinville2023,Pato Basquete2023,20,16,3,8,5,8,1,1,17,15,1,6,6,9,2,3,19.44,15.32,17.380000000000003,20,17,3,37,3,0.0
AABJ Joinville2023Pato Basquete2023,AABJ Joinville2023Pato Basquete20233,2023-06-17,3,2023,AABJ Joinville2023,Pato Basquete2023,19,18,2,12,4,6,5,6,17,14,2,3,3,11,5,6,20.64,19.64,20.14,19,17,2,36,5,3.0
