event_id,date,home_team,away_team,home_q1,away_q1,home_ot1,away_ot1,home_ot2,away_ot2,home_final,away_final
8523260,2024-07-19 15:15:00,IVV/CETAF LDB U22,BRB/Brasilia LDB U22,13,33,56,74,,,56,74
8523259,2024-07-19 13:00:00,Uniao Corinthians LDB U22,Sao Paulo LDB U22,14,20,59,70,,,59,70
8522381,2024-07-19 10:45:00,Botafogo RJ U22,Campo Mourao LDB U22,23,12,83,52,,,83,52
8518530,2024-07-19 10:45:00,LDPG U22,Basquete Cearense LDB U22,34,11,107,57,,,107,57
8522380,2024-07-19 08:30:00,Sao Jose U22,Soc. Thalia/SMEIJ LDB U22,19,19,89,59,,,89,59
8518529,2024-07-19 08:30:00,Cruzeiro LDB U22,Unifacisa LDB U22,33,5,114,43,,,114,43
8517651,2024-07-18 19:45:00,Corinthians U22,Franca U22,21,19,77,75,,,77,75
8517650,2024-07-18 17:30:00,Pato Basquete LDB U22,Flamengo U22,9,19,67,89,,,67,89
8517586,2024-07-18 15:15:00,ADRM/Maringa LDB U22,Botafogo RJ U22,11,26,64,74,,,64,74
8517579,2024-07-18 13:00:00,Soc. Thalia/SMEIJ LDB U22,Vasco da Gama/Tijuca LDB U22,14,9,64,59,,,64,59
8517578,2024-07-18 10:45:00,Campo Mourao LDB U22,Sao Jose U22,12,17,59,77,,,59,77
8517577,2024-07-18 08:30:00,Caxias do Sul LDB U22,Uniao Corinthians LDB U22,19,18,83,65,,,83,65
8513063,2024-07-17 19:45:00,Franca U22,Pato Basquete LDB U22,29,13,92,51,,,92,51
8513048,2024-07-17 19:45:00,Bauru LDB U22,Paulistano U22,10,20,50,82,,,50,82
8513006,2024-07-17 17:30:00,Flamengo U22,Sao Paulo LDB U22,16,19,15,9,100,94,100,94
8513005,2024-07-17 17:30:00,Cerrado Basquete LDB U22,Pinheiros U22,17,22,63,93,,,63,93
8512957,2024-07-17 15:15:00,Minas LDB U22,Cruzeiro LDB U22,23,14,64,77,,,64,77
8512956,2024-07-17 15:15:00,Vasco da Gama/Tijuca LDB U22,Campo Mourao LDB U22,26,19,89,59,,,89,59
8512888,2024-07-17 13:00:00,Uniao Corinthians LDB U22,Soc. Thalia/SMEIJ LDB U22,12,25,56,80,,,56,80
8512693,2024-07-17 13:00:00,AEGB LDB U22,Mogi Basquete LDB U22,14,22,63,112,,,63,112
8512652,2024-07-17 10:45:00,Unifacisa LDB U22,IVV/CETAF LDB U22,9,15,44,72,,,44,72
8512651,2024-07-17 10:45:00,Sao Jose U22,ADRM/Maringa LDB U22,34,5,125,62,,,125,62
8512589,2024-07-17 08:30:00,BRB/Brasilia LDB U22,LDPG U22,18,22,80,73,,,80,73
8512307,2024-07-17 08:30:00,Botafogo RJ U22,Corinthians U22,30,30,90,93,,,90,93
8506126,2024-07-16 19:45:00,Paulistano U22,Basquete Cearense LDB U22,20,6,79,39,,,79,39
8506127,2024-07-16 17:30:00,Cruzeiro LDB U22,AEGB LDB U22,31,12,123,32,,,123,32
8506129,2024-07-16 15:15:00,IVV/CETAF LDB U22,Minas LDB U22,19,19,2,18,73,89,73,89
8506128,2024-07-16 13:00:00,Pinheiros U22,Bauru LDB U22,18,4,78,43,,,78,43
8506130,2024-07-16 10:45:00,LDPG U22,Unifacisa LDB U22,27,9,107,60,,,107,60
8501474,2024-07-15 19:45:00,BRB/Brasilia LDB U22,Paulistano U22,7,26,28,86,,,28,86
8501470,2024-07-15 19:45:00,ADRM/Maringa LDB U22,Vasco da Gama/Tijuca LDB U22,6,25,41,80,,,41,80
8501477,2024-07-15 17:30:00,Caxias do Sul LDB U22,Flamengo U22,14,21,66,74,,,66,74
8501471,2024-07-15 17:30:00,AEGB LDB U22,IVV/CETAF LDB U22,22,16,62,89,,,62,89
8501481,2024-07-15 15:15:00,Campo Mourao LDB U22,Uniao Corinthians LDB U22,22,19,84,55,,,84,55
8501478,2024-07-15 15:15:00,Minas LDB U22,LDPG U22,18,16,66,61,,,66,61
8501476,2024-07-15 13:00:00,Corinthians U22,Sao Jose U22,24,17,82,78,,,82,78
8501475,2024-07-15 13:00:00,Cerrado Basquete LDB U22,Cruzeiro LDB U22,7,22,48,91,,,48,91
8501479,2024-07-15 10:45:00,Pato Basquete LDB U22,Botafogo RJ U22,26,14,57,59,,,57,59
8501473,2024-07-15 10:45:00,Bauru LDB U22,Mogi Basquete LDB U22,12,23,58,77,,,58,77
8501480,2024-07-15 08:30:00,Sao Paulo LDB U22,Franca U22,15,22,81,90,,,81,90
8501472,2024-07-15 08:30:00,Basquete Cearense LDB U22,Pinheiros U22,15,24,47,99,,,47,99
8497345,2024-07-14 19:45:00,Uniao Corinthians LDB U22,ADRM/Maringa LDB U22,24,13,86,55,,,86,55
