hash_partida,hash_tf,data_partida,periodo,temporada,team_hash_a,team_hash_b,fg_made_a,fg_att_a,fg3_made_a,fg3_att_a,fg2_made_a,fg2_att_a,ft_made_a,ft_att_a,fg_made_b,fg_att_b,fg3_made_b,fg3_att_b,fg2_made_b,fg2_att_b,ft_made_b,ft_att_b,pace_a,pace_b,match_pace,pts_a,pts_b,a_mov,total,a_mov_cumsum,a_mov_prior
Paulistano2024Pinheiros2024,Paulistano2024Pinheiros20243,2024-06-28,3,2024,Paulistano2024,Pinheiros2024,17,15,2,7,4,8,3,4,27,21,5,8,5,13,2,5,20.76,24.2,22.48,17,27,-10,44,-4,6.0
Paulistano2024Pinheiros2024,Paulistano2024Pinheiros20244,2024-06-28,4,2024,Paulistano2024,Pinheiros2024,28,19,5,12,4,7,5,7,30,22,3,9,7,13,7,7,27.08,27.08,27.08,28,30,-2,58,-6,-4.0
IVV/CETAF2024LDPG2024,IVV/CETAF2024LDPG20241,2024-06-29,1,2024,IVV/CETAF2024,LDPG2024,11,19,1,6,3,13,2,3,20,13,3,7,5,6,1,2,22.32,16.880000000000003,19.6,11,20,-9,31,-9,0.0
IVV/CETAF2024LDPG2024,IVV/CETAF2024LDPG20242,2024-06-29,2,2024,IVV/CETAF2024,LDPG2024,15,21,1,8,4,13,4,4,12,11,0,5,3,6,6,7,23.76,15.08,19.42,15,12,3,27,-6,-9.0
IVV/CETAF2024LDPG2024,IVV/CETAF2024LDPG20243,2024-06-29,3,2024,IVV/CETAF2024,LDPG2024,14,17,1,5,5,12,1,4,3,15,1,8,0,7,0,0,18.76,16.0,17.380000000000003,14,3,11,17,5,-6.0
IVV/CETAF2024LDPG2024,IVV/CETAF2024LDPG20244,2024-06-29,4,2024,IVV/CETAF2024,LDPG2024,16,9,1,4,3,5,7,14,17,15,1,6,6,9,2,3,17.16,26.32,21.74,16,17,-1,33,4,5.0
Cruzeiro2024Paulistano2024,Cruzeiro2024Paulistano20241,2024-06-29,1,2024,Cruzeiro2024,Paulistano2024,9,19,1,4,3,15,0,0,12,15,2,7,2,8,2,2,18.0,14.88,16.44,9,12,-3,21,-3,0.0
Cruzeiro2024Paulistano2024,Cruzeiro2024Paulistano20242,2024-06-29,2,2024,Cruzeiro2024,Paulistano2024,8,15,0,5,2,10,4,8,16,12,0,2,3,10,10,10,20.52,20.4,20.46,8,16,-8,24,-11,-3.0
Cruzeiro2024Paulistano2024,Cruzeiro2024Paulistano20243,2024-06-29,3,2024,Cruzeiro2024,Paulistano2024,13,13,2,6,2,7,3,4,8,13,1,5,2,8,1,1,16.759999999999998,15.44,16.099999999999998,13,8,5,21,-6,-11.0
Cruzeiro2024Paulistano2024,Cruzeiro2024Paulistano20244,2024-06-29,4,2024,Cruzeiro2024,Paulistano2024,21,22,3,8,4,14,4,5,18,21,2,12,3,9,6,8,26.2,23.52,24.86,21,18,3,39,-3,-6.0
Mogi2024Pinheiros2024,Mogi2024Pinheiros20241,2024-06-29,1,2024,Mogi2024,Pinheiros2024,21,18,2,6,7,12,1,2,12,14,2,6,2,8,2,2,18.88,14.88,16.88,21,12,9,33,9,0.0
Mogi2024Pinheiros2024,Mogi2024Pinheiros20242,2024-06-29,2,2024,Mogi2024,Pinheiros2024,16,12,2,7,4,5,2,4,22,15,3,7,4,8,5,8,17.759999999999998,18.52,18.14,16,22,-6,38,3,9.0
Mogi2024Pinheiros2024,Mogi2024Pinheiros20243,2024-06-29,3,2024,Mogi2024,Pinheiros2024,10,15,1,10,2,5,3,7,14,18,0,7,3,11,8,8,21.08,22.52,21.8,10,14,-4,24,-1,3.0
Mogi2024Pinheiros2024,Mogi2024Pinheiros20244,2024-06-29,4,2024,Mogi2024,Pinheiros2024,15,16,2,8,4,8,1,5,31,11,4,5,5,6,9,11,19.2,22.84,21.02,15,31,-16,46,-17,-1.0
AEGB2024Cerrado2024,AEGB2024Cerrado20241,2024-06-30,1,2024,AEGB2024,Cerrado2024,15,13,2,7,4,6,1,4,14,22,2,10,4,12,0,0,17.759999999999998,22.0,19.88,15,14,1,29,1,0.0
AEGB2024Cerrado2024,AEGB2024Cerrado20242,2024-06-30,2,2024,AEGB2024,Cerrado2024,14,19,1,7,5,12,1,2,21,22,2,9,7,13,1,2,19.88,21.88,20.88,14,21,-7,35,-6,1.0
AEGB2024Cerrado2024,AEGB2024Cerrado20243,2024-06-30,3,2024,AEGB2024,Cerrado2024,8,15,1,5,2,10,1,2,20,19,2,7,7,12,0,3,17.880000000000003,21.32,19.6,8,20,-12,28,-18,-6.0
AEGB2024Cerrado2024,AEGB2024Cerrado20244,2024-06-30,4,2024,AEGB2024,Cerrado2024,9,15,1,5,2,10,2,4,22,19,4,9,4,10,2,2,18.76,16.88,17.82,9,22,-13,31,-31,-18.0
Caixa Brasília Basquete2024Minas2024,Caixa Brasília Basquete2024Minas20241,2024-06-30,1,2024,Caixa Brasília Basquete2024,Minas2024,10,17,1,8,2,9,3,4,30,21,4,7,7,14,4,4,20.76,22.76,21.76,10,30,-20,40,-20,0.0
Caixa Brasília Basquete2024Minas2024,Caixa Brasília Basquete2024Minas20242,2024-06-30,2,2024,Caixa Brasília Basquete2024,Minas2024,17,24,1,8,6,16,2,2,19,19,1,6,8,13,0,0,21.88,21.0,21.44,17,19,-2,36,-22,-20.0
Caixa Brasília Basquete2024Minas2024,Caixa Brasília Basquete2024Minas20243,2024-06-30,3,2024,Caixa Brasília Basquete2024,Minas2024,23,19,4,8,5,11,1,1,14,13,1,7,3,6,5,7,21.44,17.08,19.26,23,14,9,37,-13,-22.0
Caixa Brasília Basquete2024Minas2024,Caixa Brasília Basquete2024Minas20244,2024-06-30,4,2024,Caixa Brasília Basquete2024,Minas2024,17,19,3,10,3,9,2,2,18,14,1,6,6,8,3,5,22.88,16.2,19.54,17,18,-1,35,-14,-13.0
B.Cearense2024UNIFACISA2024,B.Cearense2024UNIFACISA20241,2024-06-30,1,2024,B.Cearense2024,UNIFACISA2024,27,20,4,8,6,12,3,4,17,15,0,3,7,12,3,6,24.76,16.64,20.700000000000003,27,17,10,44,10,0.0
B.Cearense2024UNIFACISA2024,B.Cearense2024UNIFACISA20242,2024-06-30,2,2024,B.Cearense2024,UNIFACISA2024,12,17,0,9,6,8,0,1,18,22,1,5,7,17,1,1,18.44,17.44,17.94,12,18,-6,30,4,10.0
B.Cearense2024UNIFACISA2024,B.Cearense2024UNIFACISA20243,2024-06-30,3,2024,B.Cearense2024,UNIFACISA2024,10,21,0,8,5,13,0,0,20,14,2,5,5,9,4,7,24.0,17.08,20.54,10,20,-10,30,-6,4.0
B.Cearense2024UNIFACISA2024,B.Cearense2024UNIFACISA20244,2024-06-30,4,2024,B.Cearense2024,UNIFACISA2024,15,16,1,6,5,10,2,3,31,22,4,7,7,15,5,9,23.32,22.96,23.14,15,31,-16,46,-22,-6.0
Caixa Brasília Basquete2024Cerrado2024,Caixa Brasília Basquete2024Cerrado20241,2024-07-01,1,2024,Caixa Brasília Basquete2024,Cerrado2024,12,15,2,8,2,7,2,6,17,20,2,9,5,11,1,2,20.64,18.88,19.76,12,17,-5,29,-5,0.0
Caixa Brasília Basquete2024Cerrado2024,Caixa Brasília Basquete2024Cerrado20242,2024-07-01,2,2024,Caixa Brasília Basquete2024,Cerrado2024,16,12,1,8,4,4,5,5,23,17,2,4,5,13,7,9,22.2,21.96,22.08,16,23,-7,39,-12,-5.0
Caixa Brasília Basquete2024Cerrado2024,Caixa Brasília Basquete2024Cerrado20243,2024-07-01,3,2024,Caixa Brasília Basquete2024,Cerrado2024,16,20,2,11,3,9,4,5,17,22,1,9,5,13,4,8,25.2,22.52,23.86,16,17,-1,33,-13,-12.0
Caixa Brasília Basquete2024Cerrado2024,Caixa Brasília Basquete2024Cerrado20244,2024-07-01,4,2024,Caixa Brasília Basquete2024,Cerrado2024,22,18,0,6,7,12,8,12,11,18,0,6,5,12,1,4,25.28,23.76,24.520000000000003,22,11,11,33,-2,-13.0
Bauru Basket2024Minas2024,Bauru Basket2024Minas20241,2024-07-01,1,2024,Bauru Basket2024,Minas2024,12,13,0,4,4,9,4,6,16,16,4,10,2,6,0,1,16.64,19.44,18.04,12,16,-4,28,-4,0.0
Bauru Basket2024Minas2024,Bauru Basket2024Minas20242,2024-07-01,2,2024,Bauru Basket2024,Minas2024,11,11,1,4,3,7,2,2,9,13,0,7,2,6,5,7,18.880000000000003,15.079999999999998,16.98,11,9,2,20,-2,-4.0
Bauru Basket2024Minas2024,Bauru Basket2024Minas20243,2024-07-01,3,2024,Bauru Basket2024,Minas2024,11,15,0,2,4,13,3,5,15,15,2,10,2,5,5,6,19.2,19.64,19.42,11,15,-4,26,-6,-2.0
Bauru Basket2024Minas2024,Bauru Basket2024Minas20244,2024-07-01,4,2024,Bauru Basket2024,Minas2024,10,20,2,11,2,9,0,0,14,11,2,4,2,7,4,4,21.0,14.76,17.88,10,14,-4,24,-10,-6.0
AEGB2024UNIFACISA2024,AEGB2024UNIFACISA20241,2024-07-01,1,2024,AEGB2024,UNIFACISA2024,19,17,3,6,5,11,0,0,22,17,1,4,5,13,9,11,24.0,21.84,22.92,19,22,-3,41,-3,0.0
AEGB2024UNIFACISA2024,AEGB2024UNIFACISA20242,2024-07-01,2,2024,AEGB2024,UNIFACISA2024,15,16,2,5,4,11,1,5,19,17,1,8,6,9,4,5,20.2,23.2,21.7,15,19,-4,34,-7,-3.0
AEGB2024UNIFACISA2024,AEGB2024UNIFACISA20243,2024-07-01,3,2024,AEGB2024,UNIFACISA2024,10,16,1,4,3,12,1,1,17,10,2,6,3,4,5,11,21.44,16.84,19.14,10,17,-7,27,-14,-7.0
AEGB2024UNIFACISA2024,AEGB2024UNIFACISA20244,2024-07-01,4,2024,AEGB2024,UNIFACISA2024,19,18,1,5,6,13,4,5,17,10,2,4,2,6,7,19,30.2,23.36,26.78,19,17,2,36,-12,-14.0
AEGB2024B.Cearense2024,AEGB2024B.Cearense20241,2024-07-02,1,2024,AEGB2024,B.Cearense2024,10,22,1,7,3,15,1,1,18,21,0,6,8,15,2,4,20.44,16.76,18.6,10,18,-8,28,-8,0.0
AEGB2024B.Cearense2024,AEGB2024B.Cearense20242,2024-07-02,2,2024,AEGB2024,B.Cearense2024,13,16,1,4,4,12,2,4,22,17,2,5,5,12,6,8,22.76,22.52,22.64,13,22,-9,35,-17,-8.0
AEGB2024B.Cearense2024,AEGB2024B.Cearense20243,2024-07-02,3,2024,AEGB2024,B.Cearense2024,17,17,4,8,2,9,1,2,17,18,2,12,5,6,1,1,16.88,19.44,18.16,17,17,0,34,-17,-17.0
AEGB2024B.Cearense2024,AEGB2024B.Cearense20244,2024-07-02,4,2024,AEGB2024,B.Cearense2024,13,10,1,1,5,9,0,1,22,16,2,5,4,11,8,15,21.44,20.6,21.02,13,22,-9,35,-26,-17.0
Bauru Basket2024Cerrado2024,Bauru Basket2024Cerrado20241,2024-07-02,1,2024,Bauru Basket2024,Cerrado2024,24,17,4,7,6,10,0,0,18,18,2,10,5,8,2,2,18.0,15.88,16.939999999999998,24,18,6,42,6,0.0
Bauru Basket2024Cerrado2024,Bauru Basket2024Cerrado20242,2024-07-02,2,2024,Bauru Basket2024,Cerrado2024,18,17,1,4,7,13,1,1,22,20,1,8,7,12,5,7,16.44,21.08,18.76,18,22,-4,40,2,6.0
Bauru Basket2024Cerrado2024,Bauru Basket2024Cerrado20243,2024-07-02,3,2024,Bauru Basket2024,Cerrado2024,24,14,2,7,6,7,6,7,16,14,2,7,5,7,0,0,18.08,19.0,18.54,24,16,8,40,10,2.0
Bauru Basket2024Cerrado2024,Bauru Basket2024Cerrado20244,2024-07-02,4,2024,Bauru Basket2024,Cerrado2024,11,18,1,4,4,14,0,3,21,14,1,4,5,10,8,10,20.32,21.4,20.86,11,21,-10,32,0,10.0
Bauru Basket2024Cerrado2024,Bauru Basket2024Cerrado2024OT1,2024-07-02,OT1,2024,Bauru Basket2024,Cerrado2024,9,8,2,4,1,4,1,2,9,8,1,4,3,4,0,0,7.880000000000001,8.0,7.94,9,9,0,18,-2,-2.0
Bauru Basket2024Cerrado2024,Bauru Basket2024Cerrado2024OT2,2024-07-02,OT2,2024,Bauru Basket2024,Cerrado2024,13,5,3,5,0,0,4,4,15,8,2,2,2,6,5,6,8.76,11.64,10.2,13,15,-2,28,-4,-2.0
Caixa Brasília Basquete2024UNIFACISA2024,Caixa Brasília Basquete2024UNIFACISA20241,2024-07-02,1,2024,Caixa Brasília Basquete2024,UNIFACISA2024,17,21,3,13,3,8,2,2,9,18,1,8,2,10,2,2,19.88,20.88,20.38,17,9,8,26,8,0.0
Caixa Brasília Basquete2024UNIFACISA2024,Caixa Brasília Basquete2024UNIFACISA20242,2024-07-02,2,2024,Caixa Brasília Basquete2024,UNIFACISA2024,23,16,1,5,8,11,4,5,8,13,1,7,1,6,3,12,23.2,19.28,21.24,23,8,15,31,23,8.0
Caixa Brasília Basquete2024UNIFACISA2024,Caixa Brasília Basquete2024UNIFACISA20243,2024-07-02,3,2024,Caixa Brasília Basquete2024,UNIFACISA2024,20,15,3,4,5,11,1,3,6,16,0,4,2,12,2,4,17.32,19.76,18.54,20,6,14,26,37,23.0
Caixa Brasília Basquete2024UNIFACISA2024,Caixa Brasília Basquete2024UNIFACISA20244,2024-07-02,4,2024,Caixa Brasília Basquete2024,UNIFACISA2024,7,14,1,7,2,7,0,0,17,13,1,4,6,9,2,4,14.0,16.759999999999998,15.38,7,17,-10,24,27,37.0
ADRM2024Flamengo2024,ADRM2024Flamengo20241,2024-07-12,1,2024,ADRM2024,Flamengo2024,10,19,0,7,4,12,2,6,17,17,2,6,3,11,5,8,23.64,21.52,22.58,10,17,-7,27,-7,0.0
ADRM2024Flamengo2024,ADRM2024Flamengo20242,2024-07-12,2,2024,ADRM2024,Flamengo2024,15,16,1,7,4,9,4,6,26,22,2,8,8,14,4,7,22.64,23.08,22.86,15,26,-11,41,-18,-7.0
ADRM2024Flamengo2024,ADRM2024Flamengo20243,2024-07-12,3,2024,ADRM2024,Flamengo2024,16,16,2,7,5,9,0,0,21,22,2,6,6,16,3,3,17.0,17.32,17.16,16,21,-5,37,-23,-18.0
ADRM2024Flamengo2024,ADRM2024Flamengo20244,2024-07-12,4,2024,ADRM2024,Flamengo2024,15,14,0,3,6,11,3,4,22,25,2,10,6,15,4,9,19.76,21.96,20.86,15,22,-7,37,-30,-23.0
Campo Mourão2024SESI Franca2024,Campo Mourão2024SESI Franca20241,2024-07-12,1,2024,Campo Mourão2024,SESI Franca2024,9,14,1,5,3,9,0,0,11,16,0,3,2,13,7,8,15.0,17.52,16.259999999999998,9,11,-2,20,-2,0.0
Campo Mourão2024SESI Franca2024,Campo Mourão2024SESI Franca20242,2024-07-12,2,2024,Campo Mourão2024,SESI Franca2024,18,18,2,6,6,12,0,0,16,16,0,3,5,13,6,7,20.0,19.08,19.54,18,16,2,34,0,-2.0
Campo Mourão2024SESI Franca2024,Campo Mourão2024SESI Franca20243,2024-07-12,3,2024,Campo Mourão2024,SESI Franca2024,14,13,1,3,5,10,1,6,12,17,0,10,4,7,4,4,17.64,20.76,19.200000000000003,14,12,2,26,2,0.0
Campo Mourão2024SESI Franca2024,Campo Mourão2024SESI Franca20244,2024-07-12,4,2024,Campo Mourão2024,SESI Franca2024,10,17,1,9,3,8,1,2,18,13,1,2,6,11,3,7,20.88,15.079999999999998,17.979999999999997,10,18,-8,28,-6,2.0
Caxias2024São José Basketball2024,Caxias2024São José Basketball20241,2024-07-12,1,2024,Caxias2024,São José Basketball2024,16,14,1,7,5,7,3,3,17,18,2,6,5,12,1,1,18.32,19.44,18.880000000000003,16,17,-1,33,-1,0.0
Caxias2024São José Basketball2024,Caxias2024São José Basketball20242,2024-07-12,2,2024,Caxias2024,São José Basketball2024,16,17,1,8,4,9,5,8,20,15,3,5,3,10,5,9,27.52,20.96,24.24,16,20,-4,36,-5,-1.0
Caxias2024São José Basketball2024,Caxias2024São José Basketball20243,2024-07-12,3,2024,Caxias2024,São José Basketball2024,17,15,0,3,7,12,3,6,29,16,2,7,7,9,9,13,23.64,24.72,24.18,17,29,-12,46,-17,-5.0
Caxias2024São José Basketball2024,Caxias2024São José Basketball20244,2024-07-12,4,2024,Caxias2024,São José Basketball2024,22,20,0,7,8,13,6,9,14,11,0,2,3,9,8,11,25.96,20.84,23.4,22,14,8,36,-9,-17.0
Botafogo2024Thalia/PH.D Esportes2024,Botafogo2024Thalia/PH.D Esportes20241,2024-07-12,1,2024,Botafogo2024,Thalia/PH.D Esportes2024,10,10,0,4,3,6,4,4,19,19,3,5,5,14,0,0,14.76,22.0,18.38,10,19,-9,29,-9,0.0
Botafogo2024Thalia/PH.D Esportes2024,Botafogo2024Thalia/PH.D Esportes20242,2024-07-12,2,2024,Botafogo2024,Thalia/PH.D Esportes2024,20,13,3,5,5,8,1,2,18,21,1,6,7,15,1,2,17.880000000000003,20.88,19.380000000000003,20,18,2,38,-7,-9.0
Botafogo2024Thalia/PH.D Esportes2024,Botafogo2024Thalia/PH.D Esportes20243,2024-07-12,3,2024,Botafogo2024,Thalia/PH.D Esportes2024,18,17,2,7,5,10,2,2,15,10,0,2,6,8,3,8,23.88,15.52,19.7,18,15,3,33,-4,-7.0
Botafogo2024Thalia/PH.D Esportes2024,Botafogo2024Thalia/PH.D Esportes20244,2024-07-12,4,2024,Botafogo2024,Thalia/PH.D Esportes2024,28,14,1,4,6,10,13,18,15,21,0,12,4,9,7,14,26.92,34.16,30.54,28,15,13,43,9,-4.0
Pato Basquete2024União Corinthians2024,Pato Basquete2024União Corinthians20241,2024-07-12,1,2024,Pato Basquete2024,União Corinthians2024,22,18,2,7,6,11,4,5,19,23,0,5,9,18,1,3,19.2,24.32,21.76,22,19,3,41,3,0.0
Pato Basquete2024União Corinthians2024,Pato Basquete2024União Corinthians20242,2024-07-12,2,2024,Pato Basquete2024,União Corinthians2024,20,14,3,7,5,7,1,1,17,21,1,6,7,15,0,0,16.439999999999998,21.0,18.72,20,17,3,37,6,3.0
